ID,Counties,Absentee by Mail Votes,Advance Voting Votes,Election Day Votes,Provisional Votes,Total
Appling 1B,1B,15,33,24,0,72
Appling 1C,1C,2,28,17,0,47
Appling 2,2,77,361,198,0,636
Appling 3A1,3A1,2,8,7,0,17
Appling 3C,3C,28,110,51,0,189
Appling 4B,4B,1,2,6,0,9
Appling 4D,4D,7,38,22,0,67
Appling 5A,5A,1,38,19,0,58
Appling 5B,5B,2,15,19,0,36
Atkinson Pearson County,Pearson County,8,55,19,0,82
Atkinson Axson,Axson,0,6,16,0,22
Atkinson Willacoochee,Willacoochee,2,97,78,0,177
Atkinson Pearson City,Pearson City,7,116,63,0,186
Bacon Douglas,Douglas,32,246,115,0,393
Baker Anna,Anna,23,83,33,0,139
Baker Elmodel,Elmodel,7,28,12,0,47
Baker Hoggards Mill,Hoggards Mill,20,83,43,1,147
Baker Milford,Milford,17,31,27,0,75
Baker Newton,Newton,15,40,34,3,92
Baldwin Scottboro,Scottboro,14,96,81,0,191
Baldwin North Baldwin,North Baldwin,53,407,129,0,589
Baldwin West Baldwin,West Baldwin,67,284,140,1,492
Baldwin East Hardwick,East Hardwick,35,201,148,0,384
Baldwin West Hardwick,West Hardwick,145,616,338,0,1099
Baldwin Coopers,Coopers,23,134,81,0,238
Baldwin South Milledgeville,South Milledgeville,62,275,106,0,443
Baldwin City Hall Annex,City Hall Annex,19,108,70,1,198
Baldwin Boddie,Boddie,51,193,132,0,376
Baldwin Courthouse,Courthouse,14,63,22,0,99
Baldwin West Thomas,West Thomas,101,343,141,0,585
Baldwin North Milledgeville,North Milledgeville,64,427,158,0,649
Baldwin Meriwether,Meriwether,58,433,155,0,646
Baldwin East Baldwin,East Baldwin,86,537,301,0,924
Banks Anderson,Anderson,5,41,23,0,69
Banks Baldwin,Baldwin,9,37,19,0,65
Banks Berlin,Berlin,0,17,9,0,26
Banks Bushville,Bushville,2,21,14,0,37
Banks Columbia,Columbia,0,7,2,0,9
Banks Davids,Davids,7,56,32,0,95
Banks Golden Hill,Golden Hill,8,27,16,0,51
Banks Grove River,Grove River,2,6,2,0,10
Banks Hollingsworth,Hollingsworth,6,21,10,0,37
Banks Homer,Homer,4,34,20,0,58
Banks Poplar Springs,Poplar Springs,9,50,22,0,81
Banks Washington,Washington,10,20,11,0,41
Banks Wilmonts,Wilmonts,2,18,8,0,28
Barrow 01,01,30,205,158,0,393
Barrow 02,02,69,380,234,0,683
Barrow 03,03,55,326,314,2,697
Barrow 04,04,34,212,125,0,371
Barrow 05,05,125,711,456,0,1292
Barrow 08,08,64,485,249,1,799
Barrow 13,13,143,1028,561,0,1732
Barrow 16,16,99,731,511,1,1342
Bartow Adairsville,Adairsville,53,427,210,1,691
Bartow Allatoona,Allatoona,40,274,160,0,474
Bartow Cartersville East,Cartersville East,106,582,303,0,991
Bartow Cartersville West,Cartersville West,107,722,332,1,1162
Bartow Cassville,Cassville,54,347,150,2,553
Bartow Center,Center,49,214,119,0,382
Bartow Emerson,Emerson,42,125,111,0,278
Bartow Euharlee,Euharlee,43,288,237,0,568
Bartow Folsom,Folsom,11,23,36,0,70
Bartow Kingston,Kingston,16,84,107,0,207
Bartow Mission Road,Mission Road,45,316,141,0,502
Bartow Pine Log,Pine Log,12,41,44,0,97
Bartow Taylorsville,Taylorsville,11,56,52,0,119
Bartow White,White,14,73,108,0,195
Bartow Zena Drive,Zena Drive,84,538,260,1,883
Bartow Hamilton Crossing,Hamilton Crossing,89,458,226,0,773
Bartow Woodland,Woodland,14,125,53,0,192
Ben Hill East,East,138,1129,413,0,1680
Berrien West Berrien,West Berrien,8,19,21,0,48
Berrien Ray City ,Ray City ,10,48,67,0,125
