ID,Counties,Absentee by Mail Votes,Advance Voting Votes,Election Day Votes,Provisional Votes,Total
Appling 1B,1B,17,42,27,0,86
Appling 1C,1C,2,29,20,0,51
Appling 2,2,79,363,199,0,641
Appling 3A1,3A1,3,10,10,0,23
Appling 3C,3C,34,127,52,0,213
Appling 4B,4B,1,8,14,0,23
Appling 4D,4D,11,47,34,0,92
Appling 5A,5A,4,48,24,0,76
Appling 5B,5B,4,20,31,0,55
Atkinson Pearson County,Pearson County,11,65,25,0,101
Atkinson Axson,Axson,0,5,16,0,21
Atkinson Willacoochee,Willacoochee,2,100,85,0,187
Atkinson Pearson City,Pearson City,9,121,63,0,193
Bacon Douglas,Douglas,41,283,134,0,458
Baker Anna,Anna,25,80,36,0,141
Baker Elmodel,Elmodel,7,34,15,0,56
Baker Hoggards Mill,Hoggards Mill,20,83,47,1,151
Baker Milford,Milford,18,32,26,0,76
Baker Newton,Newton,17,43,39,3,102
Baldwin Scottboro,Scottboro,14,100,89,0,203
Baldwin North Baldwin,North Baldwin,59,473,169,0,701
Baldwin West Baldwin,West Baldwin,69,294,152,1,516
Baldwin East Hardwick,East Hardwick,34,198,144,0,376
Baldwin West Hardwick,West Hardwick,148,632,350,0,1130
Baldwin Coopers,Coopers,23,151,91,0,265
Baldwin South Milledgeville,South Milledgeville,63,272,114,0,449
Baldwin City Hall Annex,City Hall Annex,21,115,77,1,214
Baldwin Boddie,Boddie,51,199,128,0,378
Baldwin Courthouse,Courthouse,14,66,28,0,108
Baldwin West Thomas,West Thomas,102,344,143,0,589
Baldwin North Milledgeville,North Milledgeville,65,454,176,0,695
Baldwin Meriwether,Meriwether,61,474,182,0,717
Baldwin East Baldwin,East Baldwin,95,571,320,0,986
Banks Anderson,Anderson,9,52,27,0,88
Banks Baldwin,Baldwin,11,42,24,0,77
Banks Berlin,Berlin,0,26,11,0,37
Banks Bushville,Bushville,3,25,19,0,47
Banks Columbia,Columbia,2,9,3,0,14
Banks Davids,Davids,9,69,45,0,123
Banks Golden Hill,Golden Hill,8,32,18,0,58
Banks Grove River,Grove River,3,9,3,0,15
Banks Hollingsworth,Hollingsworth,7,26,13,0,46
Banks Homer,Homer,10,40,22,0,72
Banks Poplar Springs,Poplar Springs,9,60,34,0,103
Banks Washington,Washington,10,33,11,0,54
Banks Wilmonts,Wilmonts,3,23,12,0,38
Barrow 01,01,37,219,194,0,450
Barrow 02,02,82,450,279,0,811
Barrow 03,03,58,355,355,2,770
Barrow 04,04,36,230,147,0,413
Barrow 05,05,134,794,548,0,1476
Barrow 08,08,81,575,289,1,946
Barrow 13,13,161,1118,630,0,1909
Barrow 16,16,110,793,565,1,1469
Bartow Adairsville,Adairsville,62,485,242,1,790
Bartow Allatoona,Allatoona,42,316,186,0,544
Bartow Cartersville East,Cartersville East,116,636,345,0,1097
Bartow Cartersville West,Cartersville West,121,850,406,1,1378
Bartow Cassville,Cassville,59,371,167,2,599
Bartow Center,Center,55,242,157,0,454
Bartow Emerson,Emerson,49,153,134,0,336
Bartow Euharlee,Euharlee,50,318,285,0,653
Bartow Folsom,Folsom,12,28,51,1,92
Bartow Kingston,Kingston,21,95,134,0,250
Bartow Mission Road,Mission Road,50,341,161,0,552
Bartow Pine Log,Pine Log,13,51,69,0,133
Bartow Taylorsville,Taylorsville,12,70,76,0,158
Bartow White,White,18,90,132,0,240
Bartow Zena Drive,Zena Drive,95,575,295,0,965
Bartow Hamilton Crossing,Hamilton Crossing,99,510,272,0,881
Bartow Woodland,Woodland,21,136,70,0,227
Ben Hill East,East,149,1184,434,0,1767
Berrien West Berrien,West Berrien,8,24,24,0,56
Berrien Ray City ,Ray City ,10,56,81,0,147
Berrien Nashville,Nashville,60,275,138,1,474
Berrien Enigma,Enigma,9,21,32,0,62
Berrien Alapaha ,Alapaha ,19,65,86,0,170
Bibb East Macon 1,East Macon 1,87,312,221,1,621
Bibb East Macon 2,East Macon 2,206,911,454,7,1578
Bibb East Macon 3,East Macon 3,125,637,408,2,1172
Bibb East Macon 4,East Macon 4,132,444,388,0,964
Bibb East Macon 5,East Macon 5,130,525,359,0,1014
Bibb Godfrey 1,Godfrey 1,295,1230,590,7,2122
Bibb Godfrey 2,Godfrey 2,63,241,222,0,526
Bibb Godfrey 3,Godfrey 3,100,619,332,4,1055
Bibb Godfrey 4,Godfrey 4,83,271,209,0,563
Bibb Godfrey 5,Godfrey 5,158,844,674,1,1677
Bibb Hazzard 1,Hazzard 1,116,629,446,2,1193
Bibb Hazzard 2,Hazzard 2,72,554,539,4,1169
Bibb Hazzard 3,Hazzard 3,311,1500,706,7,2524
Bibb Hazzard 4,Hazzard 4,95,783,493,4,1375
Bibb Howard 1,Howard 1,106,427,246,1,780
Bibb Howard 2,Howard 2,101,428,272,5,806
Bibb Howard 3,Howard 3,159,908,601,3,1671
Bibb Howard 4,Howard 4,60,271,156,0,487
Bibb Howard 5,Howard 5,55,345,282,0,682
Bibb Howard 6,Howard 6,72,323,190,2,587
Bibb Howard 7,Howard 7,66,412,295,1,774
Bibb Rutland 1,Rutland 1,122,953,481,4,1560
Bibb Rutland 2,Rutland 2,61,413,277,1,752
Bibb Vineville 1,Vineville 1,132,578,402,1,1113
Bibb Vineville 2,Vineville 2,84,348,277,2,711
Bibb Vineville 3,Vineville 3,139,641,386,7,1173
Bibb Vineville 4,Vineville 4,197,740,563,5,1505
Bibb Vineville 5,Vineville 5,45,386,263,1,695
Bibb Vineville 6,Vineville 6,63,506,321,1,891
Bibb Warrior 1,Warrior 1,54,324,224,0,602
Bibb Warrior 2,Warrior 2,73,474,214,2,763
Bleckley 1,1,117,504,418,0,1039
Brantley Hoboken,Hoboken,5,60,47,0,112
Brantley Nahunta,Nahunta,8,104,70,0,182
Brantley Waynesville,Waynesville,15,83,85,0,183
Brooks Quitman ,Quitman ,137,579,269,4,989
Brooks Barwick,Barwick,8,23,27,0,58
Brooks Dixie,Dixie,51,150,85,0,286
Brooks Briggs,Briggs,10,108,106,0,224
Brooks Pavo,Pavo,8,12,55,0,75
Brooks Nankin,Nankin,3,38,20,0,61
Brooks Morven,Morven,45,146,113,2,306
Bryan Harn Community Center,Harn Community Center,23,283,117,0,423
Bryan Danielsiding,Danielsiding,38,201,95,0,334
Bryan Christ Baptist Church,Christ Baptist Church,41,194,130,0,365
Bryan Black Creek,Black Creek,13,101,78,0,192
Bryan First Baptist Church,First Baptist Church,65,536,217,0,818
Bryan RH Rec Complex,RH Rec Complex,45,441,172,1,659
Bryan John Stevens Wetland Ctr,John Stevens Wetland Ctr,28,359,88,1,476
Bryan New Life,New Life,39,550,184,0,773
Bryan New Beginnings,New Beginnings,64,348,107,0,519
Bryan Bryan County Admin Bldg,Bryan County Admin Bldg,54,578,213,0,845
Bulloch Lockhart,Lockhart,10,42,52,0,104
Bulloch Emit,Emit,69,322,207,0,598
Bulloch Statesboro,Statesboro,126,903,483,0,1512
