ID,Counties,Absentee by Mail Votes,Advance Voting Votes,Election Day Votes,Provisional Votes,Total
Appling 1B,1B,40,327,354,0,721
Appling 1C,1C,19,300,252,0,571
Appling 2,2,23,181,189,0,393
Appling 3A1,3A1,16,198,279,0,493
Appling 3C,3C,35,411,280,0,726
Appling 4B,4B,17,209,365,1,592
Appling 4D,4D,43,420,332,0,795
Appling 5A,5A,21,269,253,0,543
Appling 5B,5B,10,235,265,0,510
Atkinson Pearson County,Pearson County,15,503,312,1,831
Atkinson Axson,Axson,6,86,249,0,341
Atkinson Willacoochee,Willacoochee,9,152,249,1,411
Atkinson Pearson City,Pearson City,3,66,56,1,126
Bacon Douglas,Douglas,74,2301,829,0,3204
Baker Anna,Anna,5,45,90,0,140
Baker Elmodel,Elmodel,11,74,52,0,137
Baker Hoggards Mill,Hoggards Mill,3,40,60,1,104
Baker Milford,Milford,12,83,103,0,198
Baker Newton,Newton,4,80,47,1,132
Baldwin Scottboro,Scottboro,16,145,171,0,332
Baldwin North Baldwin,North Baldwin,65,1075,540,0,1680
Baldwin West Baldwin,West Baldwin,15,367,266,0,648
Baldwin East Hardwick,East Hardwick,3,37,42,0,82
Baldwin West Hardwick,West Hardwick,15,184,102,0,301
Baldwin Coopers,Coopers,11,274,369,0,654
Baldwin South Milledgeville,South Milledgeville,5,63,37,0,105
Baldwin City Hall Annex,City Hall Annex,7,38,32,0,77
Baldwin Boddie,Boddie,1,62,31,0,94
Baldwin Courthouse,Courthouse,5,45,24,0,74
Baldwin West Thomas,West Thomas,9,89,44,0,142
Baldwin North Milledgeville,North Milledgeville,26,434,187,0,647
Baldwin Meriwether,Meriwether,56,746,407,0,1209
Baldwin East Baldwin,East Baldwin,62,844,465,0,1371
Banks Anderson,Anderson,15,452,271,0,738
Banks Baldwin,Baldwin,38,239,145,0,422
Banks Berlin,Berlin,6,182,115,0,303
Banks Bushville,Bushville,8,260,160,0,428
Banks Columbia,Columbia,6,127,76,0,209
Banks Davids,Davids,17,489,356,1,863
Banks Golden Hill,Golden Hill,11,256,138,3,408
Banks Grove River,Grove River,15,181,129,0,325
Banks Hollingsworth,Hollingsworth,14,215,120,0,349
Banks Homer,Homer,11,468,259,0,738
Banks Poplar Springs,Poplar Springs,41,564,282,0,887
Banks Washington,Washington,8,246,116,1,371
Banks Wilmonts,Wilmonts,5,208,108,0,321
Barrow 01,01,34,591,698,0,1323
Barrow 02,02,129,1714,1404,1,3248
Barrow 03,03,76,936,1227,0,2239
Barrow 04,04,32,655,639,0,1326
Barrow 05,05,113,1764,1471,1,3349
Barrow 08,08,98,1880,1075,0,3053
Barrow 13,13,115,1729,1161,1,3006
Barrow 16,16,71,1262,1259,0,2592
Bartow Adairsville,Adairsville,75,1543,1294,3,2915
Bartow Allatoona,Allatoona,32,728,656,1,1417
Bartow Cartersville East,Cartersville East,111,1201,765,2,2079
Bartow Cartersville West,Cartersville West,119,2175,1065,1,3360
Bartow Cassville,Cassville,62,867,579,0,1508
Bartow Center,Center,67,925,927,1,1920
Bartow Emerson,Emerson,42,531,676,1,1250
Bartow Euharlee,Euharlee,45,1010,1177,2,2234
Bartow Folsom,Folsom,17,226,461,1,705
Bartow Kingston,Kingston,28,491,762,0,1281
Bartow Mission Road,Mission Road,62,905,630,2,1599
Bartow Pine Log,Pine Log,28,379,759,2,1168
Bartow Taylorsville,Taylorsville,25,469,1013,0,1507
Bartow White,White,37,562,760,1,1360
Bartow Zena Drive,Zena Drive,82,944,668,4,1698
Bartow Hamilton Crossing,Hamilton Crossing,100,1530,1035,2,2667
Bartow Woodland,Woodland,41,297,353,2,693
Ben Hill East,East,67,2266,900,2,3235
Berrien West Berrien,West Berrien,23,174,383,0,580
Berrien Ray City ,Ray City ,22,373,386,0,781
Berrien Nashville,Nashville,100,1692,870,0,2662
Berrien Enigma,Enigma,8,98,364,0,470
Berrien Alapaha ,Alapaha ,13,161,334,1,509
Bibb East Macon 1,East Macon 1,2,8,6,1,17
Bibb East Macon 2,East Macon 2,8,40,30,0,78
Bibb East Macon 3,East Macon 3,31,198,181,0,410
Bibb East Macon 4,East Macon 4,3,21,28,0,52
Bibb East Macon 5,East Macon 5,14,104,142,0,260
Bibb Godfrey 1,Godfrey 1,17,74,84,1,176
Bibb Godfrey 2,Godfrey 2,5,22,26,0,53
Bibb Godfrey 3,Godfrey 3,9,50,26,2,87
Bibb Godfrey 4,Godfrey 4,6,33,26,0,65
Bibb Godfrey 5,Godfrey 5,20,75,88,0,183
Bibb Hazzard 1,Hazzard 1,12,60,60,0,132
Bibb Hazzard 2,Hazzard 2,39,268,582,0,889
Bibb Hazzard 3,Hazzard 3,47,445,371,1,864
Bibb Hazzard 4,Hazzard 4,76,783,910,4,1773
Bibb Howard 1,Howard 1,102,730,621,1,1454
Bibb Howard 2,Howard 2,93,686,673,3,1455
Bibb Howard 3,Howard 3,89,856,855,2,1802
Bibb Howard 4,Howard 4,23,239,158,0,420
Bibb Howard 5,Howard 5,23,144,199,0,366
Bibb Howard 6,Howard 6,40,358,261,0,659
Bibb Howard 7,Howard 7,40,506,556,0,1102
Bibb Rutland 1,Rutland 1,83,690,1189,0,1962
Bibb Rutland 2,Rutland 2,51,360,811,0,1222
Bibb Vineville 1,Vineville 1,17,188,256,0,461
Bibb Vineville 2,Vineville 2,6,82,113,1,202
Bibb Vineville 3,Vineville 3,11,61,34,0,106
Bibb Vineville 4,Vineville 4,11,90,87,0,188
Bibb Vineville 5,Vineville 5,49,317,322,0,688
Bibb Vineville 6,Vineville 6,18,320,372,0,710
Bibb Warrior 1,Warrior 1,40,262,784,3,1089
Bibb Warrior 2,Warrior 2,41,441,796,0,1278
Bleckley 1,1,140,2137,1397,1,3675
Brantley Hoboken,Hoboken,33,797,878,0,1708
Brantley Nahunta,Nahunta,48,1088,773,0,1909
Brantley Waynesville,Waynesville,15,696,947,0,1658
Brooks Quitman ,Quitman ,28,457,263,1,749
Brooks Barwick,Barwick,2,38,121,0,161
Brooks Dixie,Dixie,4,136,159,2,301
Brooks Briggs,Briggs,25,372,519,0,916
Brooks Pavo,Pavo,2,71,205,0,278
Brooks Nankin,Nankin,4,132,201,0,337
Brooks Morven,Morven,12,326,444,4,786
Bryan Harn Community Center,Harn Community Center,13,499,293,0,805
Bryan Danielsiding,Danielsiding,20,517,320,0,857
Bryan Christ Baptist Church,Christ Baptist Church,29,787,587,0,1403
Bryan Black Creek,Black Creek,17,242,315,0,574
Bryan First Baptist Church,First Baptist Church,23,604,391,0,1018
Bryan RH Rec Complex,RH Rec Complex,20,482,232,0,734
Bryan John Stevens Wetland Ctr,John Stevens Wetland Ctr,48,1043,327,0,1418
Bryan New Life,New Life,23,1232,578,0,1833
Bryan New Beginnings,New Beginnings,34,927,451,0,1412
Bryan Bryan County Admin Bldg,Bryan County Admin Bldg,20,662,407,0,1089
Bulloch Lockhart,Lockhart,4,81,248,1,334
Bulloch Emit,Emit,35,615,665,0,1315
Bulloch Statesboro,Statesboro,86,934,574,0,1594
Bulloch Portal,Portal,13,219,456,1,689
Bulloch Fair,Fair,93,1254,691,5,2043
Bulloch Church,Church,65,803,509,3,1380
Bulloch Pittman Park,Pittman Park,30,296,249,2,577
Bulloch Leefield,Leefield,10,114,385,1,510
Bulloch Blitch,Blitch,19,400,545,0,964
Bulloch Hagin,Hagin,24,336,543,0,903
Bulloch Brooklet,Brooklet,35,666,870,2,1573
Bulloch Stilson,Stilson,14,275,700,0,989
Bulloch Bay,Bay,19,211,578,1,809
Bulloch Nevils,Nevils,18,208,398,0,624
Bulloch Sinkhole,Sinkhole,7,52,185,0,244
Bulloch Register,Register,9,116,184,1,310
Burke Alexander,Alexander,2,34,92,0,128
Burke Four Points,Four Points,23,294,541,0,858
Burke Girard,Girard,17,57,123,0,197
Burke Gough,Gough,4,40,56,0,100
Burke Greenscut,Greenscut,11,144,189,0,344
Burke Keysville,Keysville,2,23,76,0,101
Burke Midville,Midville,2,20,86,0,108
Burke Munnerlyn,Munnerlyn,1,35,57,0,93
Burke Sardis,Sardis,8,70,237,0,315
Burke Scotts Crossroads,Scotts Crossroads,0,14,41,0,55
Burke Telfair,Telfair,8,88,191,0,287
Burke St Clair,St Clair,7,68,100,0,175
Burke Vidette,Vidette,2,15,74,2,93
Burke North Waynesboro,North Waynesboro,17,265,111,0,393
Burke South Waynesboro,South Waynesboro,37,636,397,1,1071
Burke Blakeney,Blakeney,1,74,69,0,144
Butts Butts County Recreation Center,Butts County Recreation Center,61,1138,282,0,1481
Butts Jenkinsburg City Hall,Jenkinsburg City Hall,31,977,325,0,1333
Butts Rock Creek Missionary,Rock Creek Missionary,16,417,155,1,589
Butts Stark United Methodist Church,Stark United Methodist Church,45,1215,513,0,1773
Butts Towaliga Baptist Church,Towaliga Baptist Church,42,1179,386,1,1608
Calhoun Leary ,Leary ,6,116,83,0,205
Calhoun Morgan,Morgan,18,119,117,0,254
Calhoun Edison ,Edison ,2,13,33,0,48
Calhoun Edison-Arlington,Edison-Arlington,2,69,70,0,141
Calhoun Arlington,Arlington,1,42,33,0,76
Camden Tarboro,Tarboro,6,156,243,0,405
Camden Waverly,Waverly,30,360,398,1,789
Camden Woodbine,Woodbine,16,297,344,0,657
Camden Browntown,Browntown,5,112,159,0,276
Camden Harriets Bluff,Harriets Bluff,20,394,435,0,849
Camden West Kingsland,West Kingsland,18,560,365,0,943
Camden North Kingsland,North Kingsland,6,285,215,0,506
Camden Kingsland,Kingsland,10,298,199,0,507
Camden East Kingsland,East Kingsland,58,1401,779,2,2240
Camden North St. Marys,North St. Marys,19,152,166,0,337
Camden St. Marys ,St. Marys ,17,394,411,0,822
Camden South St. Marys,South St. Marys,32,452,326,0,810
Camden Mush Bluff,Mush Bluff,19,502,426,0,947
Camden West St. Marys ,West St. Marys ,77,1044,489,0,1610
Candler JSCC,JSCC,51,1764,735,2,2552
Carroll Kansas,Kansas,15,159,485,0,659
Carroll Bowdon,Bowdon,25,406,789,0,1220
Carroll Sandhill,Sandhill,37,815,731,0,1583
Carroll Center Point,Center Point,36,436,592,0,1064
Carroll Mt Zion,Mt Zion,15,381,745,1,1142
Carroll Burwell,Burwell,21,240,453,1,715
Carroll Clem,Clem,28,952,736,1,1717
Carroll Bowdon Junction,Bowdon Junction,13,294,346,0,653
Carroll Tyus,Tyus,15,282,727,0,1024
Carroll Fairfield,Fairfield,27,647,1058,0,1732
Carroll Hulett,Hulett,20,504,657,0,1181
Carroll Bethany,Bethany,22,657,512,0,1191
Carroll V R County South,V R County South,20,686,444,0,1150
Carroll V R County North,V R County North,32,953,708,0,1693
Carroll Villa Rica City,Villa Rica City,49,792,507,0,1348
Carroll Temple County,Temple County,42,714,806,0,1562
Carroll Temple City,Temple City,21,390,696,1,1108
Carroll Whitesburg,Whitesburg,21,334,666,1,1022
Carroll Roopville,Roopville,21,689,935,0,1645
Carroll West Carrollton,West Carrollton,20,386,197,0,603
Carroll Lakeshore Rec Center,Lakeshore Rec Center,21,290,147,0,458
Carroll Bonner,Bonner,31,774,369,0,1174
Carroll University of W GA,University of W GA,7,361,187,0,555
Carroll County Admin Bldg,County Admin Bldg,18,501,236,1,756
Carroll Tabernacle Church,Tabernacle Church,41,353,211,0,605
Carroll Burson Center,Burson Center,3,325,180,0,508
Carroll Old Camp Church,Old Camp Church,16,518,488,0,1022
Carroll Oak Grove,Oak Grove,14,294,440,0,748
Catoosa Blackstock,Blackstock,17,338,493,0,848
Catoosa Boynton,Boynton,71,1523,1009,2,2605
Catoosa Catoosa Keith,Catoosa Keith,23,559,605,0,1187
Catoosa Chambers,Chambers,19,781,598,0,1398
Catoosa Ft Oglethorpe,Ft Oglethorpe,37,796,549,2,1384
Catoosa Graysville,Graysville,38,906,793,3,1740
Catoosa Lakeview,Lakeview,24,623,420,0,1067
Catoosa Poplar Springs,Poplar Springs,43,1088,696,3,1830
Catoosa Ringgold,Ringgold,72,1950,974,1,2997
Catoosa Westside,Westside,55,1400,625,2,2082
Catoosa Woodstation,Woodstation,17,659,747,1,1424
Charlton Folkston,Folkston,29,884,490,2,1405
Charlton GA Bend,GA Bend,7,19,201,1,228
Charlton St. George ,St. George ,10,42,214,1,267
Charlton Homeland,Homeland,7,171,165,1,344
Charlton Racepond,Racepond,1,58,104,0,163
Charlton Winokur,Winokur,6,53,86,0,145
Chatham 1-01C First Presbyterian Church,1-01C First Presbyterian Church,44,264,443,1,752
Chatham 1-05C JEA Building,1-05C JEA Building,27,146,285,0,458
Chatham 1-06C Central Church of Christ,1-06C Central Church of Christ,48,231,381,0,660
Chatham 1-08C Grace United Methodist Church,1-08C Grace United Methodist Church,19,147,331,0,497
Chatham 1-09C Immanuel Baptist Church,1-09C Immanuel Baptist Church,11,92,130,0,233
Chatham 1-10C St Thomas Episcopal Church,1-10C St Thomas Episcopal Church,21,120,408,0,549
Chatham 1-12C Isle of Hope Baptist,1-12C Isle of Hope Baptist,36,380,532,0,948
Chatham 1-13C The Sanctuary,1-13C The Sanctuary,15,167,275,0,457
Chatham 1-14C St. Luke United Methodist Church,1-14C St. Luke United Methodist Church,43,306,329,0,678
Chatham 1-16C Ferguson Ave Baptist,1-16C Ferguson Ave Baptist,37,446,811,0,1294
Chatham 1-17C Islands Christian Church,1-17C Islands Christian Church,74,804,551,0,1429
Chatham 2-02C River Pointe,2-02C River Pointe,7,59,60,0,126
Chatham 2-03C W W Law Center,2-03C W W Law Center,2,33,53,0,88
Chatham 2-04C Fellowship of Love Church,2-04C Fellowship of Love Church,1,27,47,0,75
Chatham 2-05C Holy Spirit Lutheran Church,2-05C Holy Spirit Lutheran Church,3,36,59,0,98
Chatham 2-06C Eli Whitney Complex - Savannah,2-06C Eli Whitney Complex - Savannah,2,15,31,0,48
Chatham 2-06C Eli Whitney Complex,2-06C Eli Whitney Complex,17,158,83,0,258
Chatham 2-07C Christ Community Church,2-07C Christ Community Church,12,64,88,0,164
Chatham 2-09C Salvation Army,2-09C Salvation Army,10,69,111,0,190
Chatham 2-11C Oasis of Hope,2-11C Oasis of Hope,6,43,41,0,90
Chatham 2-12C Williams Court Apts,2-12C Williams Court Apts,4,16,64,0,84
Chatham 3-02C Temple Mickve Israel,3-02C Temple Mickve Israel,17,174,135,1,327
Chatham 3-03C Savannah High School,3-03C Savannah High School,3,20,21,0,44
Chatham 3-04C First African Baptist Church,3-04C First African Baptist Church,1,16,15,0,32
Chatham 3-05C New Generations Cathedral,3-05C New Generations Cathedral,8,67,109,0,184
Chatham 3-08C Jenkins High School,3-08C Jenkins High School,8,63,95,0,166
